2018-11-04 12:08:53,978 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-11-04 12:10:30,166 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:10:30,167 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/main/resources
2018-11-04 12:10:30,178 [Worker-18: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:10:30,179 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/test/resources
2018-11-04 12:11:18,307 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-11-04 12:11:36,144 [Worker-9: Launching devops_old] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/hari/Documents/java/devops_old
2018-11-04 12:11:36,152 [Worker-9: Launching devops_old] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-11-04 12:12:24,564 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:12:24,565 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-11-04 12:12:24,585 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:12:24,585 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/devops_old/src/test/resources
2018-11-04 12:12:24,612 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:12:24,613 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/main/resources
2018-11-04 12:12:24,615 [Worker-5: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:12:24,640 [Worker-5: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/test/resources
2018-11-04 12:13:03,793 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-11-04 12:13:13,466 [Worker-12: Launching my-app] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/hari/Documents/java/my-app
2018-11-04 12:13:13,466 [Worker-12: Launching my-app] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-11-04 12:16:41,892 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:16:41,900 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/main/resources
2018-11-04 12:16:41,903 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-04 12:16:41,911 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hari/Documents/java/my-app/src/test/resources
